,Unnamed: 0,cik,size,ni,zscore,leverage,prloss,chgdt,cfo,liquidity,mkbk,litigate,reportlag,priorgc,newequity,newdebt,dependence,indexpert,tenure,big4,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,bankruptcy,logmodel_pred,naivebayes_pred,KN_pred,svc_pred,DC_pred,rf_pred,xgb_pred
58,58,14637,5.524037595,-57.309,-1.831027688,0.9555427,1,0.0,-0.001248778,0.108571885,6.032612402000001,0,92,0,0.011669892,0.0,0.5477124179999999,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
59,59,14930,8.130500769,-95.8,-3.177290085,0.685823642,1,0.0,0.075607243,0.036861475,1.3454381030000002,0,68,0,0.030189313,0.0,0.035320482,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
60,60,14995,4.462661475,-0.7979999999999999,-1.858708239,0.682937798,1,0.0,0.032011807999999996,0.005166171,0.53289689,0,104,0,0.042782352,0.03364930000000001,0.0,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
61,61,15310,5.235297691,15.436,-4.727153255,0.35281305700000004,1,0.0,-0.08483105699999999,0.08979418,0.510865451,0,87,0,0.024496099,0.0,0.0,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
62,62,15357,-0.173163619,0.023,-3.83853541,0.412604043,1,0.0,-0.155766944,0.029726516,0.0,0,88,0,1.153388823,0.0,0.310374259,0,0.693147181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
63,63,15486,2.251712763,-1.922,-3.435137808,0.171506734,1,0.0,0.0035774409999999998,0.044823232000000005,0.208864618,1,88,0,0.0,0.0,0.33756345200000004,0,0.693147181,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
64,64,15615,6.872002705,65.14699999999999,-3.402039409,0.48146037,1,0.0,-0.012303096999999999,0.019128823,1.90682912,0,85,0,0.049648712000000005,0.060779642,0.0,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
65,65,15678,1.395997137,-9.139,5.961497002000001,2.465461748,1,-0.288150492,-1.9663282990000002,0.138153008,-13.1520865,0,106,0,0.0,0.0,0.874675649,0,1.098612289,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,False,True,True,True,True
66,66,15840,6.104788768,25.215,-3.849288458,0.6300965629999999,1,0.0,-0.02345323,0.037622936,0.955580632,0,78,0,0.020285805,0.11317238,0.035516927999999996,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
67,67,15847,2.329421747,-1.136,-1.86034297,0.570969626,1,0.0,-0.15576324,0.015576323999999999,0.814295439,0,141,0,3.5926791280000003,0.06532320900000001,0.0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
68,68,16496,4.68525597,3.628,0.07568694299999999,0.8944968520000001,1,0.0,-0.119302553,0.02209751,0.9570691159999999,0,88,0,0.094648231,0.7373590059999999,0.0,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
69,69,16590,0.528272537,-1.9709999999999999,5.172921995,5.436910377,1,0.0,-1.2323113209999998,0.137971698,-0.849966777,1,89,0,6.771816038,0.0,1.0,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
70,70,16804,2.545452837,-3.0839999999999996,-3.25987605,0.045572202,1,0.0,-0.188328496,0.09098752800000001,7.16178501,0,88,0,1.130912228,0.0,0.000735602,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
71,71,18172,5.797054215,-107.98200000000001,2.278424437,1.1066626590000002,1,-0.058743743,-0.106161638,0.10817179199999999,-0.233626555,0,97,0,0.01133824,0.661951003,0.009231791,0,2.772588722,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,True,True,True,True,True,True,True
72,72,18605,2.150016494,0.857,-5.102466443,0.026092021,1,0.0,-0.007571345,0.20372743199999999,0.964477933,0,89,0,0.058707047000000005,0.0,0.012865908,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
73,73,18647,6.808214463,44.178000000000004,0.0,0.647273193,1,0.0,-0.228087617,0.0,0.0,0,46,0,0.018626837,0.076221786,0.0,0,0.693147181,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
74,74,19002,1.1262274559999998,-0.441,-3.711460732,0.17315175100000002,1,0.0,-0.089494163,0.5055123220000001,0.421960784,1,90,0,1.014267185,0.0,0.565231455,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
75,75,19161,3.27328825,0.01,-1.304449093,0.9565497390000001,0,0.22382594600000003,-0.064967043,0.013144935,2.708631212,0,107,0,0.0,0.0,0.444872581,0,1.098612289,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True
76,76,19252,4.250721334,-26.803,-0.843800241,0.323279548,1,0.0,-0.149224585,0.008609385,1.0906458,0,106,0,0.20360339800000002,0.080534808,0.00917554,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
77,77,19520,5.996641125,-1.659,-0.037611572,0.906353525,1,0.0,0.065925347,0.25501149,1.147249887,1,90,0,0.022316676,0.0,0.31715283,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
78,78,19913,2.520836698,-3.759,-2.996201171,0.044376557999999997,1,0.0,-0.327437897,0.071629552,1.313148818,0,92,0,0.8933997909999999,0.0,0.025158705,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
79,79,20232,4.18704528,-11.908,-2.037777807,0.49928601799999994,1,0.0,-0.134410889,0.232910008,1.4740905919999998,1,79,0,0.601020842,0.07098802900000001,0.000636905,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
80,80,20520,8.847216967,-28.394000000000002,-1.514103935,0.752695972,1,0.0,0.036878185,0.0044892840000000005,2.028024984,0,68,0,0.042104924,0.598631115,0.030079691000000002,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
81,81,21157,5.26217192,-30.195,-0.292134228,0.748890617,1,0.0,0.0045878690000000005,0.07069466,0.671700489,0,107,0,0.0,0.0,0.077040816,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
82,82,21175,11.03598584,1214.0,0.0,0.8389669390000001,1,0.0,-0.0221209,0.002626152,0.7105032520000001,0,75,0,0.003638751,0.008055681,0.557675392,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
83,83,21239,0.074179398,-6.585,23.24031198,0.333333333,1,0.0,-2.1151346330000003,0.56545961,59.32952646,0,73,0,42.90807799,0.0,0.0,0,0.693147181,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
84,84,21510,6.61316406,69.937,-4.194128206999999,0.313848955,1,0.0,-0.059136508,0.212782411,3.6060343980000003,0,75,0,0.038164106,0.0008901289999999999,0.068684831,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
85,85,21610,2.3291296480000003,-1.732,-3.780372696,0.019476093,1,0.0,-0.147239264,0.9965916840000001,0.966779223,0,92,0,1.947511929,0.842048885,0.0,0,0.693147181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
86,86,21828,3.417333164,-8.033,-3.081021285,0.8777879820000001,1,0.0,-0.176167673,0.027125426,1.3704777240000001,0,101,0,0.052610863,0.0,0.0,0,0.693147181,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
87,87,22551,2.925792525,-11.68,-0.415504327,0.764437771,1,0.20889221800000002,-0.48227787,0.031315352000000005,2.188686547,0,107,1,0.0,0.0,0.69624333,0,1.386294361,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True
88,88,22872,3.057532674,-5.766,-2.516497459,1.5016216219999998,1,0.0,-0.24972973,0.0,-0.075131184,0,86,0,0.179459459,0.0,0.0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False
