,Unnamed: 0,cik,size,ni,zscore,leverage,prloss,chgdt,cfo,liquidity,mkbk,litigate,reportlag,priorgc,newequity,newdebt,dependence,indexpert,tenure,big4,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year,bankruptcy,rf_pred,log_pred
246,58009,924829,5.249394944,2.651,-2.305641033,0.740636699,1,0,-0.106195294,0.014318644,0,1,129,0,0.148563147,0.603976876,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
292,67415,1017837,2.830621753,-4.861,1.193637279,1.081917905,1,0,-0.104741684,0.23920736,-143.0910727,0,150,0,1.692085397,0.347959424,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
245,57990,924822,5.779798625,-73.143,-0.951849459,0.648368521,1,0,0.026321155,0.018505131,1.410594706,0,93,0,0,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
243,57547,922723,2.49823411,-5.179,-1.469537951,0.637036428,1,0,-0.013814653,0.285420607,8.380154055,1,91,0,0.686127786,0.209028863,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
217,52515,907072,4.947794886,-2.668,-1.779594698,0.613875795,1,0,0.097114948,0.013949625,0.67131143,0,90,0,0.060611654,0.049153794,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
216,52277,906282,3.216873822,0.223,-4.368400741,0.359318637,1,0,-0.01743487,0.042284569,4.386693775,0,90,0,0.205851703,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
215,51322,899630,3.580625869,1.115,-1.951399601,0.712892801,1,0,-0.028749721,0.001225763,0.801271104,1,91,0,0.207989748,0.075356586,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
214,51301,899627,3.862391487,3.719,0,0.217995334,1,0,-0.187267492,0.048004372,2.264783508,0,94,0,0.238823851,0.099665819,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
213,50601,896747,1.617009178,-2.136,-2.378529844,0.362643906,1,0,-0.167923779,0.239579198,8.781345375,1,201,0,0,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
212,50133,895464,0.412771683,-1.035,-1.250289003,0.835208471,1,0,-0.553275976,0.908007942,51.43654618,0,91,0,46.76307081,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
211,50009,895319,-0.761426021,-1.96,14.6001114,2.269807281,1,0,-0.796573876,0.229122056,-30.3079258,0,92,0,64.99571734,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
210,49704,894237,1.722766598,-1.349,-2.68421595,0.241964286,1,0,-0.217857143,0.277321429,3.518845701,0,90,0,1.07875,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
209,49030,891329,4.592753416,5.459,0,0.623757163,1,0,-0.037806533,0.081880404,0.400236814,0,90,0,0.059251159,0.089251362,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
218,52782,908440,5.026692353,-8.945,0,0,1,0,0.080378933,0.223390716,0,0,73,0,0.442950114,1.588992836,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
208,48313,889353,1.515346989,-0.884,1.546640366,1.439903318,1,0,-0.036255768,0.016919358,-0.614285714,0,101,0,4.567787299,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
206,47828,887614,4.798563557,-8.101,-3.57378995,0.371151183,1,0,0.15049944,0.346904464,2.336599303,0,89,0,0.204654843,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
205,47414,886475,3.588976242,-0.874,-2.742553489,0.648976435,1,0,0.031715336,0.030582645,1.134975602,0,90,0,0.13874078,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
204,46592,884498,4.889371207,-20.447,-3.123145132,0.233295703,1,0,-0.131399112,0.263422895,2.332018612,0,89,0,0.102001957,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
203,46212,883369,4.583180168,-0.554,-4.310447759,0.705484283,1,0,-0.182724252,0.11514439,0.565211204,0,87,0,0.053248147,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
202,46094,883041,1.716317274,-2.442,0.546127731,0.932782171,1,0,-0.433141625,0.267433501,71.71898396,0,387,0,5.889827462,0.113587347,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
201,46013,882509,1.828412787,-11.434,3.937612931,0.257712082,1,0,-0.52779563,0.738271208,32.29794372,1,90,0,0.956780206,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
200,45931,882291,0.277631737,-1.299,0.103566928,1.540151515,1,0,-0.514393939,0.164393939,-33.74053296,0,263,0,2.179545455,0.536363636,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
199,45746,881890,2.646032943,-0.577,-3.710887117,0.486664775,1,0,-0.117250674,0.145339765,18.16299572,0,90,0,1.142147822,0.070932047,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
198,45538,880807,5.517107455,-17.598,-4.103021084,0.032019091,1,0,-0.081791301,0.509886949,3.644861462,1,88,0,0.081518115,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
207,48085,888504,5.502624624,-7.665,-2.732154823,0.52311737,1,0,0.053649092,0.015289298,0.580822421,0,88,0,0.047722502,0.008152119,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
219,53317,910523,2.310652464,-3.95,-2.500406546,0.089872037,1,0,-0.382600932,0.940680488,17.64461035,0,89,0,3.126376352,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
220,53644,911577,3.74272823,-5.718,-3.712433848,0.188164783,1,0,-0.034468055,0.271196077,12.12321272,0,90,0,1.643711653,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
221,53727,911650,4.697849636,-7.785,-4.021410661,0.622435307,1,0,0.090975381,0.143458723,2.237044637,1,88,0,0.219029997,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
242,57370,922330,-0.918793862,-0.413,0.334315789,0.541353383,1,0,-1.072681704,0,43.60819672,0,123,0,25.61904762,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
241,57365,922285,3.724704987,-0.973,-4.245946419,0.116428279,1,0,-0.064232133,0.041221448,17.97685357,0,90,0,0.5649678,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
240,56602,920042,5.0753488,-36.149,0,1.223698353,1,0,0.219505337,0.011016822,-0.212645958,0,134,0,0,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,TRUE,TRUE,FALSE
239,56549,919941,3.834277657,-13.794,0,1.204712495,1,0,-0.12875054,0.052637268,-2.50719113,0,105,0,0,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
238,56404,919628,7.357883953,-29.117,-1.570259482,0.652054747,1,0,0.073055771,0.023273621,0.595686725,1,91,0,0.033207227,0.169587265,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
237,56371,919583,4.153477877,-6.824,-3.725368856,0.201461001,1,0,-0.044474118,0.136784227,11.59332494,0,48,0,0.187447962,0.1132197,0,1,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
236,56067,918580,2.876723487,-1.171,-3.22686338,0.247015093,1,0,0.108019824,0.116692949,0.774794316,0,90,0,0.195821131,0.002196441,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
235,55946,918027,2.906081052,0.678,-3.773393942,0.489581624,1,0,-0.11583265,0,1.429336762,0,85,0,0.364779874,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
234,55832,917471,4.389362164,-62.31,-0.842153175,0.31290871,1,0,-0.427763094,0.389730608,11.4933721,0,84,0,0.210177568,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
233,55556,916460,0.905431989,-0.909,-1.815991253,0.473513951,1,0,-0.337646583,0.20824909,17.29953917,0,89,0,14.96643753,0.100687424,1,1,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
232,55500,916304,4.056954173,-32.405,3.736734147,1.204297727,1,0,-0.411727049,0.054880792,-32.98187669,0,90,0,0.298643552,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
231,55475,916235,2.705914589,-5.694,-2.365755624,0.415419562,1,0,-0.175574559,0.34600481,12.73857143,0,223,0,0.872327632,0.03727953,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
230,55359,915909,4.384722996,-13.822,-3.332267471,0.278435724,1,0,0.148773312,0.01608158,0.217530796,0,105,0,0.118218311,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
229,55218,915355,1.789924453,-2.01,-2.852739213,0.122558023,1,0,-0.201369177,0.756219736,12.72323501,1,91,0,2.789280347,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
228,55028,914398,3.082276875,-1.32,-2.492989416,0.708501467,1,0,-0.026687454,0,1.014236275,1,92,0,0.120873074,0.003026412,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
227,54682,913600,2.263532366,-0.759,-0.858585953,1.308932099,1,0,-0.112717064,0.00904648,-3.611578593,0,90,0,0.446293023,0.13517729,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
226,54569,913293,7.326756361,648.1,-6.262229738,0.366003438,1,0,-0.002315116,0.02286835,0.927059458,0,91,0,0.028100381,0,0,0,0.693147181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
225,54389,912953,2.437465575,-1.29,-3.568069754,0.203425376,1,0,-0.177997204,0.076546662,2.008282141,1,96,0,0,0,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
224,54364,912894,3.186269985,-0.571,-1.64899464,0.891767915,1,0,-0.02235722,0.039631374,0.630011455,0,89,0,0.181874535,0.061038102,0,0,0.693147181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,FALSE,FALSE,FALSE
